v0.2
set time rel
bPm 0.0 75

t g 2.0
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

e s 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2
e e 0.0

c g 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

c b 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

c g 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2

t g 0.2
t r 0.2
t b 0.2
t r 0.2

c b 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2

c c 0.2
t g 0.0
t r 0.2
t b 0.2
t r 0.2

t g 0.6
t r 0.0
t b 0.0
